country,income,employ_above_15,agr,ind,ser,education,region,log_income,log_agr
Uruguay,7233.906191,44.79999924,5.199999809,12.5,82.30000305,9.7,Latin America and Caribbean,8.886534444636974,1.6486585888566119
Uzbekistan,725.3469456,51.70000076,,,,10.9,Asia-Pacific,6.586650086043392,
Vanuatu,1418.075283,,,,,5.8,Asia-Pacific,7.257055796655998,
Venezuela,5401.421719,45.70000076,1.799999952,11.39999962,85.80000305,8.4,Latin America and Caribbean,8.594417479196224,0.5877866382354521
Vietnam,581.5782774,67.90000153,,,,6.5,Asia-Pacific,6.365745575796894,
West Bank and Gaza,,11.5,34.29999924,8.800000191,55.29999924,7.3,,,3.5351453320144595
Yemen,573.8957089,,,,,,Asia-Pacific,6.352447687999763,
"Yemen, Rep.",,20.5,,,,0.6,,,
Zambia,372.0836755,53.90000153,,,,4.8,Africa,5.919118763119041,
Zimbabwe,351.1720467,58.79999924,,,,6.2,Africa,5.861276264914401,
